event_subject,event_object,event_complement,event_trigger,event_subject_type,event_object_type,event_subject_id,event_object_id,event_complement_id,event_trigger_id
Un trabajo,otro,,tendrá igual valor,LegalConcept,LegalConcept,argument0113,argument0712,,trigger0668
La regulación de las condiciones establecidas en un convenio de empresa,,,tendrá prioridad aplicativa,LegalConcept,,argument0065,,,trigger0671
comité de empresa,,,tendrá derecho a Ser informado,LegalEntity,,argument0231,,,trigger0655
contrato de trabajo,,,podrá suspenderse,LegalConcept,,argument0286,,,trigger0418
elecciones a miembros del comité de empresa,,,se ajustará,LegalConcept,,argument0438,,,trigger0516
Gobierno,,,fijará,LegalEntity,,argument0042,,,trigger0257
trabajador,,jubilación parcial,pueda acceder,LegalAgent,,argument0925,,argument0557,trigger0473
trabajador,,reducción de jornada,pueda acceder,LegalAgent,,argument0925,,argument0818,trigger0473
trabajador,,reducción de salario,pueda acceder,LegalAgent,,argument0925,,argument0820,trigger0473
trabajador,,contrato de relevo,pueda acceder,LegalAgent,,argument0925,,argument0285,trigger0473
,,acuerdo de extinción,exige,,,,,argument0136,trigger0245
,,indemnización,exige,,,,,argument0529,trigger0245
trabajador a distancia,,derecho a percibir,tendrá,LegalAgent,,argument0926,,argument0359,trigger0651
existencia de fuerza mayor,,extinción de los contratos de trabajo,deberá ser constatada,LegalConcept,,argument0487,,argument0491,trigger0144
El Fondo,,las obligaciones especificadas en los apartados anteriores,asumirá,LegalEntity,,argument0014,,argument0582,trigger0050
el ejercicio de la acción contra el despido o resolución de contratos temporales,,,caducará,LegalConcept,,argument0426,,,trigger0057
dichos trabajadores,,a un centro de trabajo concreto de la empresa,deberán estar adscritos,LegalAgent,,argument0386,,argument0116,trigger0159
Las medidas,el empleo estable de los trabajadores desempleados,a las que se refieren los párrafos anteriores,se orientarán prioritariamente a fomentar,LegalConcept,LegalConcept,argument0070,argument0427,argument0115,trigger0575
Las medidas,la conversión de contratos temporales en contratos por tiempo indefinido,a las que se refieren los párrafos anteriores,se orientarán prioritariamente a fomentar,LegalConcept,LegalConcept,argument0070,argument0563,argument0115,trigger0575
deberá,,,establecerse,LegalConcept,,argument0336,,,trigger0215
El plazo,,,es,LegalConcept,,argument0029,,,trigger0213
lo dispuesto,,,no será de aplicación,LegalConcept,,argument0605,,,trigger0328
El derecho,,,se entenderá cumplido,LegalConcept,,argument0025,,,trigger0551
empresa,,,coincida,LegalAgent,,argument0445,,,trigger0061
plan,,,deberá incluir,LegalConcept,,argument0759,,,trigger0127
pacto,,,se formalizará,LegalConcept,,argument0718,,,trigger0564
trabajador,,,tendrá derecho,LegalAgent,,argument0925,,,trigger0652
"La disposición adicional sexta del Real Decreto-ley 5/2013, de 15 de marzo, de medidas para favorecer la continuidad de la vida laboral de los trabajadores de mayor edad y promover el envejecimiento activo",,,,LegalConcept,,argument0052,,,
empresario,trabajadores,,notificará,LegalAgent,LegalAgent,argument0449,argument0933,,trigger0332
empresario,autoridad laboral,,notificará,LegalAgent,LegalAgent,argument0449,argument0177,,trigger0332
dirección de la empresa,representantes de los trabajadores,,comunicar,LegalEntity,LegalAgent,argument0388,argument0850,,trigger0064
dirección de la empresa,autoridad laboral,,comunicar,LegalEntity,LegalAgent,argument0388,argument0177,,trigger0064
La adopción del acuerdo de extinción al amparo de lo prevenido en el artículo anterior,trabajador,observancia de los requisitos siguientes,exige,LegalConcept,LegalAgent,argument0046,argument0925,argument0697,trigger0245
empresario,,venta de los bienes de la empresa,dará cuenta,LegalAgent,,argument0449,,argument0987,trigger0103
trabajador,,,podrá ausentarse,LegalAgent,,argument0925,,,trigger0362
contrato,,trabajos que tengan el carácter de fijos-discontinuos,se concertará,LegalConcept,,argument0283,,argument0955,trigger0527
,,,prohíbe realizar,,,,,,trigger0467
consulta,,,deberá versar,LegalConcept,,argument0271,,,trigger0150
cargas fiscales y de Seguridad Social,,,serán satisfechas,LegalConcept,,argument0196,,,trigger0636
materias,,,se considerarán,LegalConcept,,argument0627,,,trigger0533
dirección empresarial,,,podrá limitar,LegalEntity,,argument0390,,,trigger0390
empresario,,,impidiese,LegalAgent,,argument0449,,,trigger0280
organizaciones de trabajadores y empresarios,,,elaborar,LegalEntity,,argument0704,,,trigger0200
Fondo de Garantía Salarial,,,dispensará,LegalEntity,,argument0041,,,trigger0192
miembros del comité de empresa y los delegados de personal,,,tendrán,LegalEntity,,argument0649,,,trigger0676
Se,,,aprueba,,,argument0107,,,trigger0047
se,,,establecerá,,,argument0885,,,trigger0216
los contratos,,,podrán tener,LegalEntity,,argument0609,,,trigger0447
el empresario,auxiliar,,será,LegalAgent,LegalAgent,argument0428,argument0178,,trigger0610
el empresario,ayudante,,será,LegalAgent,LegalAgent,argument0428,argument0179,,trigger0610
comité de empresa,,,tendrá derecho a ser informado,LegalEntity,,argument0231,,,trigger0662
créditos por salarios no protegidos en los apartados anteriores,,,tendrán la condición de singularmente privilegiados,LegalConcept,,argument0323,,,trigger0687
pacto,,,Será nulo,LegalConcept,,argument0718,,,trigger0022
tiempo de trabajo,,,se computará,LegalConcept,,argument0922,,,trigger0523
trabajador,,,se computará,LegalAgent,,argument0925,,,trigger0523
trabajadores,,,tienen derecho,LegalAgent,,argument0933,,,trigger0697
,,,,,,,,,
representantes legales,,,tendrán,LegalAgent,,argument0852,,,trigger0676
traslado,,periodo de consultas,deberá ir precedido,LegalConcept,,argument0959,,argument0737,trigger0132
traslado,,representantes legales,deberá ir precedido,LegalConcept,,argument0959,,argument0852,trigger0132
traslado,,trabajadores,deberá ir precedido,LegalConcept,,argument0959,,argument0933,trigger0132
vacante,delegados de personal,,se cubrirá automáticamente,LegalConcept,LegalAgent,argument0985,argument0348,,trigger0538
empresario,organizaciones empresariales,comisión,podrá atribuir,LegalAgent,LegalEntity,argument0449,argument0705,argument0224,trigger0361
empresario,organizaciones empresariales,miembros,podrá atribuir,LegalAgent,LegalEntity,argument0449,argument0705,argument0646,trigger0361
empresario,organizaciones empresariales,sindicatos,podrá atribuir,LegalAgent,LegalEntity,argument0449,argument0705,argument0891,trigger0361
quienes,procedimiento de extensión,negociación colectiva,Tendrán capacidad para iniciar,LegalAgent,LegalConcept,argument0805,argument0780,argument0668,trigger0028
quienes,procedimiento de extensión,ámbito correspondiente,Tendrán capacidad para iniciar,LegalAgent,LegalConcept,argument0805,argument0780,argument0990,trigger0028
empresario,comité de empresa,,deberá facilitar,LegalAgent,LegalEntity,argument0449,argument0231,,trigger0122
convenio colectivo,constitución y funcionamiento,,podrá pactarse,LegalConcept,LegalConcept,argument0302,argument0270,,trigger0394
empresario,centro de trabajo,,deberá facilitar,LegalAgent,LegalEntity,argument0449,argument0211,,trigger0122
trabajador,,,resultase perjudicado,LegalAgent,,argument0925,,,trigger0512
contratos de interinidad,beneficiarios de prestaciones por desempleo,trabajadores,darán derecho a,LegalConcept,LegalAgent,argument0292,argument0180,argument0933,trigger0107
jefe del grupo,los que lo integren,la representación,ostentará,LegalAgent,LegalAgent,argument0551,argument0613,argument0573,trigger0345
,,,,,,,,,
cualquiera de las partes,discrepancia,comisión del convenio,podrá someter,LegalAgent,LegalConcept,argument0327,argument0391,argument0225,trigger0414
ascensos,,,se producirán,LegalConcept,,argument0168,,,trigger0589
,,,se suspenderá,,,,,,trigger0604
empresa,,,se podrá proceder,LegalAgent,,argument0445,,,trigger0580
contrato de trabajo,,,se extinguirá,LegalConcept,,argument0286,,,trigger0561
empresa,,,deberá dar traslado,LegalAgent,,argument0445,,,trigger0117
empresa,,,estará obligada a comunicar,LegalAgent,,argument0445,,,trigger0222
,,,interrumpirán,,,,,,trigger0287
,,,Se considera,,,,,,trigger0015
Comisión Consultiva Nacional de Convenios Colectivos,,,será reforzada,LegalEntity,,argument0005,,,trigger0622
,,,,,,,,,
beneficios,,,no serán de aplicación,LegalConcept,,argument0181,,,trigger0330
trabajadores,,,tienen derecho,LegalAgent,,argument0933,,,trigger0697
asociaciones empresariales,,convenios colectivos de sector,estarán legitimadas para negociar,LegalEntity,,argument0170,,argument0307,trigger0230
plazo,,,será,LegalConcept,,argument0761,,,trigger0610
trabajadores menores de dieciocho años,,,no podrán realizar,LegalAgent,,argument0945,,,trigger0322
discrepancias,,concreción horaria,serán resueltas,LegalConcept,,argument0392,,argument0256,trigger0635
discrepancias,,determinación de los periodos de disfrute,serán resueltas,LegalConcept,,argument0392,,argument0378,trigger0635
dirección de la empresa,,,podrá acordar,LegalEntity,,argument0388,,,trigger0356
autoridad laboral,,,velará por,LegalEntity,,argument0177,,,trigger0708
,,,,,,,,,
"miembros del comité de empresa y este en su conjunto, así como, en su caso, los expertos que les asistan",,,deberán observar,LegalEntity,,argument0648,,,trigger0165
trabajadores,,,tienen,LegalAgent,,argument0933,,,trigger0695
traslado,,,deberá ir precedido,LegalConcept,,argument0959,,,trigger0132
número de miembros,,,se determinará,LegalConcept,,argument0685,,,trigger0543
,,,,,,,,,
plazo,,ejercicio de las acciones ejecutivas,se interrumpirá,LegalConcept,,argument0761,,argument0422,trigger0572
plazo,,reconocimiento del crédito,se interrumpirá,LegalConcept,,argument0761,,argument0815,trigger0572
trabajador,,,tendrá derecho,LegalAgent,,argument0925,,,trigger0652
derecho o condición de trabajo,,previa antigüedad del trabajador,esté atribuido,LegalConcept,,argument0363,,argument0774,trigger0243
,,,,,,,,,
litigios,representantes de los trabajadores,cumplimiento,tramitarán,LegalConcept,LegalAgent,argument0604,argument0850,argument0331,trigger0704
litigios,representantes de los trabajadores,obligación de sigilo,tramitarán,LegalConcept,LegalAgent,argument0604,argument0850,argument0695,trigger0704
litigios,expertos,cumplimiento,tramitarán,LegalConcept,LegalAgent,argument0604,argument0490,argument0331,trigger0704
litigios,expertos,obligación de sigilo,tramitarán,LegalConcept,LegalAgent,argument0604,argument0490,argument0695,trigger0704
contrato de trabajo,,suspenderse,podrá suspenderse,LegalConcept,,argument0286,,argument0910,trigger0418
,,incumplimientos contractuales,considerarán,,,,,argument0527,trigger0078
,,"acoso por razón de origen racial o étnico, religión o convicciones, discapacidad, edad u orientación sexual",considerarán,,,,,argument0125,trigger0078
,,acoso sexual o por razón de sexo,considerarán,,,,,argument0126,trigger0078
suspensión de estas diez semanas,,ejercitar,se podrá ejercitar,LegalConcept,,argument0911,,argument0423,trigger0577
suspensión de estas diez semanas,,régimen de jornada completa o a tiempo parcial,se podrá ejercitar,LegalConcept,,argument0911,,argument0876,trigger0577
suspensión de estas diez semanas,,acuerdo entre la empresa y la persona trabajadora afectada,se podrá ejercitar,LegalConcept,,argument0911,,argument0137,trigger0577
suspensión de estas diez semanas,,términos que reglamentariamente se determinen,se podrá ejercitar,LegalConcept,,argument0911,,argument0969,trigger0577
trabajadores,,,tienen derecho,LegalAgent,,argument0933,,,trigger0697
suspensión del contrato,,,tendrá,LegalConcept,,argument0913,,,trigger0651
decisión extintiva,,,será nula,LegalConcept,,argument0340,,,trigger0620
empresarios,dichos contratistas,,deberán comprobar,LegalAgent,LegalEntity,argument0455,argument0385,,trigger0153
personas,,,consideran incluidas,LegalAgent,,argument0755,,,trigger0073
trabajador,,,podrá reclamar,LegalAgent,,argument0925,,,trigger0401
negociación colectiva,,,articulará,LegalConcept,,argument0668,,,trigger0048
,,,,,,,,,
empresa,,,se considerará,LegalAgent,,argument0445,,,trigger0530
partes,,,notificarán,LegalAgent,,argument0728,,,trigger0333
oficina pública,empresa,copia del acta,dará traslado,LegalEntity,LegalEntity,argument0700,argument0445,argument0314,trigger0106
oficina pública,empresa,presentación en dicha oficina pública del acta correspondiente al proceso electoral,dará traslado,LegalEntity,LegalEntity,argument0700,argument0445,argument0770,trigger0106
adaptaciones,,razonables y proporcionadas en relación con las necesidades de la persona trabajadora y con las necesidades organizativas o productivas de la empresa,deberán ser,LegalConcept,,argument0143,,argument0807,trigger0170
recibo de salarios,,,ajustará,LegalConcept,,argument0814,,,trigger0043
escrito,,,consignarán,LegalConcept,,argument0472,,,trigger0079
impugnaciones en materia electoral,,,tramitarán,LegalConcept,,argument0518,,,trigger0704
límite de edad y de duración,,,no será de aplicación,LegalConcept,,argument0624,,,trigger0328
La duración de la jornada de trabajo,,,será,LegalConcept,,argument0055,,,trigger0610
En representación de los empresarios,,,estarán legitimados para negociar,LegalConcept,,argument0035,,,trigger0232
Podrán promover elecciones a delegados de personal y miembros de comités de empresa,,,"las organizaciones sindicales más representativas, las que cuenten con un mínimo de un diez por ciento de representantes en la empresa o los trabajadores del centro de trabajo por acuerdo mayoritario",LegalConcept,,argument0098,,,trigger0290
Se excluyen del ámbito regulado por esta ley,,,null,LegalConcept,,argument0108,,,trigger0334
mesa,,,estará formada,LegalConcept,,argument0642,,,trigger0220
Fondo de Garantía Salarial,,,abonará,LegalEntity,,argument0041,,,trigger0033
,,,prohíbe,,,,,,trigger0466
trabajadores menores de dieciocho años,,,no podrán realizar,LegalAgent,,argument0945,,,trigger0322
miembros del comité o delegado de personal,,,Disponer,LegalConcept,,argument0650,,,trigger0005
,,,fijará,,,,,,trigger0257
El contrato a tiempo parcial,,,regirá,LegalConcept,,argument0023,,,trigger0498
el periodo de consultas,,,finalice,LegalConcept,,argument0432,,,trigger0259
trabajador,,,podrá exigir,LegalAgent,,argument0925,,,trigger0379
Estos acuerdos,,,tendrán,LegalConcept,,argument0037,,,trigger0676
despido,,,se efectuará,LegalConcept,,argument0374,,,trigger0547
trabajador,,,no podrá ser despedido,LegalAgent,,argument0925,,,trigger0316
empresario y el comité de empresa,,,actuarán,LegalEntity,,argument0452,,,trigger0037
La comisión negociadora,,,quedará válidamente constituida,LegalEntity,,argument0049,,,trigger0482
las comunidades autónomas,,,deberán remitir,LegalEntity,,argument0578,,,trigger0168
el trabajador,,,tendrá derecho a la reincorporación,LegalAgent,,argument0436,,,trigger0659
trabajadores,representantes de los trabajadores,condiciones de ejecución de la actividad laboral,tendrán derecho a formular,LegalAgent,LegalAgent,argument0933,argument0850,argument0260,trigger0682
,,,,,,,,,
delegados de prevención,empresario,medidas oportunas,requerirán,LegalAgent,LegalAgent,argument0351,argument0449,argument0638,trigger0502
exigencias,,periodos de descanso,deberán ser tenidas,LegalConcept,,argument0486,,argument0744,trigger0175
créditos salariales,objetos elaborados,,gozarán de preferencia,LegalConcept,LegalConcept,argument0324,argument0689,,trigger0265
escrito,extremos,,se consignarán,LegalConcept,LegalConcept,argument0472,argument0493,,trigger0534
escrito,Criterios,,se consignarán,LegalConcept,LegalConcept,argument0472,argument0008,,trigger0534
libro,representantes legales,,estará a disposición,LegalConcept,LegalAgent,argument0596,argument0852,,trigger0219
empresario,copia íntegra,,trasladará,LegalAgent,LegalConcept,argument0449,argument0316,,trigger0706
modificaciones sustanciales,condiciones reconocidas a los trabajadores,en el contrato de trabajo,afectar,LegalConcept,LegalConcept,argument0655,argument0262,argument0464,trigger0041
modificaciones sustanciales,condiciones reconocidas a los trabajadores,en acuerdos o pactos colectivos,afectar,LegalConcept,LegalConcept,argument0655,argument0262,argument0462,trigger0041
modificaciones sustanciales,condiciones reconocidas a los trabajadores,disfrutadas por estos en virtud de una decisión unilateral del empresario de efectos colectivos,afectar,LegalConcept,LegalConcept,argument0655,argument0262,argument0393,trigger0041
empresario solicitante,,,quedará exonerado,LegalAgent,,argument0451,,,trigger0477
comunicación de la apertura del periodo de consultas,,mediante escrito dirigido por el empresario a los representantes legales de los trabajadores,realizará,LegalConcept,,argument0246,,argument0633,trigger0490
comunicación de la apertura del periodo de consultas,,una copia del cual se hará llegar a la autoridad laboral,realizará,LegalConcept,,argument0246,,argument0976,trigger0490
despido colectivo,periodo de consultas,con los representantes legales de los trabajadores de una duración no superior a treinta días naturales,deberá ir precedido,LegalConcept,LegalConcept,argument0375,argument0737,argument0253,trigger0132
despido colectivo,periodo de consultas,o de quince en el caso de empresas de menos de cincuenta trabajadores,deberá ir precedido,LegalConcept,LegalConcept,argument0375,argument0737,argument0688,trigger0132
empresario,,,estará obligado a celebrar,LegalAgent,,argument0449,,,trigger0223
causa objetiva,contrato,despido,requiere concretamente la extinción,LegalConcept,LegalConcept,argument0200,argument0283,argument0374,trigger0503
,puestos de trabajo,contrato,se podrán determinar,,LegalConcept,,argument0802,argument0283,trigger0583
,grupos profesionales,contrato,se podrán determinar,,LegalConcept,,argument0508,argument0283,trigger0583
salario en especie,percepciones salariales del trabajador,cuantía íntegra en dinero del salario mínimo interprofesional,podrá superar,LegalConcept,LegalConcept,argument0879,argument0734,argument0329,trigger0415
opción,,,determinará,LegalConcept,,argument0702,,,trigger0187
despido,personas trabajadoras,,nulo,LegalConcept,LegalAgent,argument0374,argument0758,,trigger0335
sindicatos,registros,,tendrán derecho a acceder,LegalEntity,LegalConcept,argument0891,argument0827,,trigger0679
planteamiento,arbitraje,plazos de prescripción,interrumpirá,LegalConcept,LegalConcept,argument0760,argument0161,argument0765,trigger0286
representación,,,podrá haber,LegalConcept,,argument0843,,,trigger0384
reserva,,puesto de trabajo,quedará referida,LegalConcept,,argument0856,,argument0800,trigger0480
número de miembros,,comité de empresa,se determinará,LegalConcept,,argument0685,,argument0231,trigger0543
decisión,periodo de consultas,condiciones de trabajo,deberá ir precedida,LegalConcept,LegalConcept,argument0337,argument0737,argument0261,trigger0131
acuerdos interprofesionales,,,deberán especificar,LegalConcept,,argument0141,,,trigger0158
comunidades,,,podrán hacer uso,LegalEntity,,argument0251,,,trigger0433
suspensión del contrato,,,finalizará,LegalConcept,,argument0913,,,trigger0260
trabajador,,,continuará desempeñando,LegalAgent,,argument0925,,,trigger0088
contrato,,,podrá extinguirse,LegalConcept,,argument0283,,,trigger0382
despido nulo,trabajador,,tendrá el efecto de,LegalConcept,LegalAgent,argument0376,argument0925,,trigger0667
supuestos de trabajos discontinuos,,,les será de aplicación,LegalConcept,,argument0908,,,trigger0291
nacimiento,contrato de trabajo,,suspenderá,LegalConcept,LegalConcept,argument0664,argument0286,,trigger0650
empresa,,,se podrá proceder,LegalAgent,,argument0445,,,trigger0580
empresario,trabajador,,deberá facilitar,LegalAgent,LegalAgent,argument0449,argument0925,,trigger0122
Gobierno,,,recogerá,LegalEntity,,argument0042,,,trigger0495
trabajadores,,,tienen,LegalAgent,,argument0933,,,trigger0695
comité de empresa,,competencias,Colaborar,LegalEntity,,argument0231,,argument0239,trigger0001
mesa,candidaturas,,determinará,LegalEntity,LegalAgent,argument0642,argument0193,,trigger0187
resolución denegatoria,,registro,podrá ser impugnada,LegalConcept,,argument0862,,argument0822,trigger0410
contrato de trabajo,,tiempo convenido,se extinguirá,LegalConcept,,argument0286,,argument0920,trigger0561
contrato de trabajo,,realización de la obra o servicio,se extinguirá,LegalConcept,,argument0286,,argument0813,trigger0561
decisión extintiva del empresario,,,será nula,LegalEntity,,argument0341,,,trigger0620
sindicatos y las asociaciones empresariales,,,podrán negociar,LegalEntity,,argument0894,,,trigger0436
derechos y obligaciones del trabajador,,,serán,LegalConcept,,argument0370,,,trigger0624
no concesión del preaviso o el error excusable en el cálculo de la indemnización,,,no determinará,LegalConcept,,argument0669,,,trigger0299
empresa,,documento,podrá ser utilizado,LegalAgent,,argument0445,,argument0408,trigger0412
comité de empresa,,,se determinará,LegalEntity,,argument0231,,,trigger0543
Gobierno,,ampliaciones,podrá establecer,LegalEntity,,argument0042,,argument0150,trigger0377
Gobierno,,limitaciones,podrá establecer,LegalEntity,,argument0042,,argument0599,trigger0377
Gobierno,,especialidades,podrá establecer,LegalEntity,,argument0042,,argument0473,trigger0377
aplicación,convenio colectivo,fecha de expiración,se mantendrá,LegalConcept,LegalConcept,argument0156,argument0302,argument0498,trigger0574
aplicación,convenio colectivo,entrada en vigor,se mantendrá,LegalConcept,LegalConcept,argument0156,argument0302,argument0471,trigger0574
abono de las retribuciones periódicas y regulares,,,no podrá exceder,LegalConcept,,argument0117,,,trigger0311
empresario,,registro,está obligado a llevar,LegalAgent,,argument0449,,argument0822,trigger0239
salario mínimo interprofesional,,,es,LegalConcept,,argument0880,,,trigger0213
representantes legales de los trabajadores,,,tendrán,LegalAgent,,argument0853,,,trigger0676
trabajador,,,tiene derecho,LegalAgent,,argument0925,,,trigger0692
trabajador,,,pueda solicitar,LegalAgent,,argument0925,,,trigger0474
trabajador,,,tendrá derecho,LegalAgent,,argument0925,,,trigger0652
miembros del comité o delegado de personal,,,Disponer de,LegalAgent,,argument0650,,,trigger0006
comité de empresa,,,tendrá derecho a emitir,LegalEntity,,argument0231,,,trigger0656
La regulación de las condiciones establecidas en un convenio de empresa,,,tendrá prioridad aplicativa respecto del,LegalConcept,,argument0065,,,trigger0673
El contrato a tiempo parcial,,,se regirá por,LegalConcept,,argument0023,,,trigger0594
el Gobierno,,,podrá trasladar a,LegalEntity,,argument0425,,,trigger0421
trabajador,,,podrá ausentarse,LegalAgent,,argument0925,,,trigger0362
comités,,,deberán reunirse,LegalConcept,,argument0233,,,trigger0169
empresario,,,podrá limitar,LegalAgent,,argument0449,,,trigger0390
convenio,,,será remitido,LegalConcept,,argument0301,,,trigger0623
mesa electoral,,recuento de votos,procederá,LegalEntity,,argument0643,,argument0816,trigger0459
empresa,,aceptación de la petición,comunicará,LegalAgent,,argument0445,,argument0122,trigger0066
empresa,,propuesta alternativa,comunicará,LegalAgent,,argument0445,,argument0791,trigger0066
empresa,,necesidades de conciliación,comunicará,LegalAgent,,argument0445,,argument0665,trigger0066
,,despido,nulo,,,,,argument0374,trigger0335
empresa,,registros,conservará,LegalAgent,,argument0445,,argument0827,trigger0072
contrato de trabajo,trabajador,,se extinguirá,LegalConcept,LegalAgent,argument0286,argument0925,,trigger0561
La suspensión del contrato de trabajo,,,podrá disfrutarse,LegalConcept,,argument0067,,,trigger0372
convenio colectivo,,,se podrá establecer,LegalConcept,,argument0302,,,trigger0578
Gobierno,,"medidas de reserva, duración o preferencia en el empleo",podrá regular,LegalEntity,,argument0042,,argument0636,trigger0405
comité de empresa,,,tendrá derecho a ser informado y consultado,LegalEntity,,argument0231,,,trigger0663
árbitros,,,"deberán abstenerse y, en su defecto, ser recusados",LegalAgent,,argument0999,,,trigger0152
delegados de personal y miembros del comité,,,podrán ser revocados,LegalAgent,,argument0350,,,trigger0442
proclamación,,,se hará,LegalConcept,,argument0784,,,trigger0565
delegados de personal,,,ejercerán,LegalAgent,,argument0348,,,trigger0196
empresa,representantes legales de los trabajadores,medios de prueba,iniciará,LegalAgent,LegalAgent,argument0445,argument0853,argument0640,trigger0284
persona trabajadora,,,tendrá derecho a solicitar,LegalAgent,,argument0751,,,trigger0664
empresa,"los dos adoptantes, guardadores o acogedores",disfrute simultáneo de las diez semanas voluntarias,podrá limitar,LegalEntity,LegalAgent,argument0445,argument0612,argument0395,trigger0390
permiso,,,constar,LegalConcept,,argument0746,,,trigger0080
,,,considerarán,,,,,,trigger0078
promotores,,empresa,deberán identificar,LegalAgent,,argument0789,,argument0445,trigger0162
promotores,,centro de trabajo,deberán identificar,LegalAgent,,argument0789,,argument0211,trigger0162
promotores,,proceso electoral,deberán identificar,LegalAgent,,argument0789,,argument0783,trigger0162
promotores,,fecha de inicio,deberán identificar,LegalAgent,,argument0789,,argument0499,trigger0162
promotores,,mesa electoral,deberán identificar,LegalAgent,,argument0789,,argument0643,trigger0162
promotores,,registro de la comunicación,deberán identificar,LegalAgent,,argument0789,,argument0824,trigger0162
promotores,,oficina pública,deberán identificar,LegalAgent,,argument0789,,argument0700,trigger0162
promotores,,autoridad laboral,deberán identificar,LegalAgent,,argument0789,,argument0177,trigger0162
"representación de los trabajadores, o de los empresarios",,otra parte,comunicará,LegalEntity,,argument0845,,argument0710,trigger0066
"representación de los trabajadores, o de los empresarios",,comunicación,comunicará,LegalEntity,,argument0845,,argument0245,trigger0066
"representación de los trabajadores, o de los empresarios",,legitimación,comunicará,LegalEntity,,argument0845,,argument0592,trigger0066
"representación de los trabajadores, o de los empresarios",,artículos anteriores,comunicará,LegalEntity,,argument0845,,argument0166,trigger0066
"representación de los trabajadores, o de los empresarios",,ámbitos del convenio,comunicará,LegalEntity,,argument0845,,argument0996,trigger0066
"representación de los trabajadores, o de los empresarios",,materias objeto de negociación,comunicará,LegalEntity,,argument0845,,argument0628,trigger0066
Las preferencias,,,serán de aplicación,LegalConcept,,argument0072,,,trigger0627
El cedente o el cesionario,,,vendrá obligado a iniciar,LegalAgent,,argument0021,,,trigger0710
esta oficina pública,,,procederá al registro,LegalEntity,,argument0475,,,trigger0461
El comité de empresa,,,tendrá,LegalEntity,,argument0022,,,trigger0651
cambios,,ámbito de los medios o instrumentos de la prestación del servicio público,producir,LegalConcept,,argument0190,,argument0991,trigger0464
cambios,,ámbito de los sistemas y métodos de trabajo del personal adscrito al servicio público,producir,LegalConcept,,argument0190,,argument0994,trigger0464
trabajador,,una obra o servicio determinados,contratar,LegalAgent,,argument0925,,argument0980,trigger0091
trabajador,,autonomía y sustantividad propia dentro de la actividad de la empresa,contratar,LegalAgent,,argument0925,,argument0175,trigger0091
trabajador,,"ejecución, aunque limitada en el tiempo, sea en principio de duración incierta",contratar,LegalAgent,,argument0925,,argument0421,trigger0091
trabajadores,,víctimas de violencia de género o de víctimas del terrorismo,tener,LegalAgent,,argument0933,,argument0989,trigger0690
trabajadores,,el puesto de trabajo en la localidad donde venían prestando sus servicios,tener,LegalAgent,,argument0933,,argument0433,trigger0690
trabajadores,,protección o su derecho a la asistencia social integral,tener,LegalAgent,,argument0933,,argument0792,trigger0690
trabajadores,,"otro puesto de trabajo, del mismo grupo profesional o categoría equivalente, que la empresa tenga vacante en cualquier otro de sus centros de trabajo",tener,LegalAgent,,argument0933,,argument0714,trigger0690
incumplimiento grave de sus obligaciones por parte del empresario,,los supuestos de fuerza mayor,ser,LegalConcept,,argument0526,,argument0618,trigger0608
incumplimiento grave de sus obligaciones por parte del empresario,,la negativa del mismo a reintegrar al trabajador en sus anteriores condiciones de trabajo en los supuestos previstos en los artículos 40 y 41,ser,LegalConcept,,argument0526,,argument0570,trigger0608
incumplimiento grave de sus obligaciones por parte del empresario,,una sentencia judicial haya declarado los mismos injustificados,ser,LegalConcept,,argument0526,,argument0981,trigger0608
personas,,,intervengan,LegalAgent,,argument0755,,,trigger0288
justificación,,,no podrá ser tomada,LegalConcept,,argument0561,,,trigger0318
dicha acomodación,,,deberá realizarse,LegalConcept,,argument0380,,,trigger0139
contrato de trabajo,,,se extinguirá,LegalConcept,,argument0286,,,trigger0561
contratados,,,se computarán,LegalAgent,,argument0278,,,trigger0524
horas complementarias,,,se consideran,LegalConcept,,argument0512,,,trigger0529
los candidatos,,,Resultarán elegidos,LegalAgent,,argument0608,,,trigger0014
el salario,,,será,LegalConcept,,argument0435,,,trigger0610
se,,,entenderá,LegalConcept,,argument0885,,,trigger0204
se,,,considerará,LegalConcept,,argument0885,,,trigger0075
comité de empresa,,,tendrá derecho a ser informado,LegalEntity,,argument0231,,,trigger0662
unos y otros,,,se abonarán,LegalConcept,,argument0983,,,trigger0514
autoridad laboral,entidad gestora,,podrá ser impugnada,LegalEntity,LegalEntity,argument0177,argument0468,,trigger0410
trabajador relevista,trabajador sustituido,,podrá completar,LegalAgent,LegalAgent,argument0929,argument0930,,trigger0364
trabajador,,,tendrá derecho,LegalAgent,,argument0925,,,trigger0652
empresario,,centro de trabajo,deberá facilitar,LegalAgent,,argument0449,,argument0211,trigger0122
periodo de suspensión,,,se ampliará,LegalConcept,,argument0741,,,trigger0517
contrato,,,podrá prorrogarse,LegalConcept,,argument0283,,,trigger0396
autoridad laboral,,,se dispondrá,LegalEntity,,argument0177,,,trigger0545
situaciones,,,interrumpen,LegalConcept,,argument0897,,,trigger0285
empresario,representantes legales de los trabajadores,,entregará,LegalAgent,LegalAgent,argument0449,argument0853,,trigger0210
autoridad laboral,,,establecerá,LegalEntity,,argument0177,,,trigger0216
